"","x","y","cellType"
"458",160.273504273504,442.324786324786,"Keratin+ Tumour"
"459",167.407738095238,476.56746031746,"p53+Tumour"
"460",157.615384615385,1004.02797202797,"Immune"
"462",168.790094339623,1647.13561320755,"Keratin+ Tumour"
"463",163.580467675378,1838.53370013755,"Immune"
"464",166.397891963109,249.994729907773,"Keratin+ Tumour"
"465",169.69109947644,400.485863874346,"Keratin+ Tumour"
"466",163.330049261084,550.574712643678,"Immune"
"467",162.091445427729,904.976401179941,"Immune"
"468",165.909333333333,1049.84266666667,"p53+Tumour"
"469",158.762081784387,67.3048327137546,"Keratin+ Tumour"
"470",164.179487179487,421.649572649573,"Keratin+ Tumour"
"471",157.232954545455,1516.65909090909,"Keratin+ Tumour"
"472",165.60157480315,1707.56535433071,"Keratin+ Tumour"
"473",162.738549618321,1925.90267175573,"Immune"
"474",152.548802946593,1352.3241252302,"Immune"
"475",166.333333333333,1538.94117647059,"Keratin+ Tumour"
"476",164.748633879781,1625.2131147541,"Keratin+ Tumour"
"479",165.052752293578,333.731651376147,"Immune"
"480",164.308203991131,363.678492239468,"Immune"
"481",164.246478873239,674.507042253521,"Immune"
"482",164.785714285714,1466.65909090909,"p53+Tumour"
"483",159.730337078652,1506.44943820225,"Keratin+ Tumour"
"484",163.10599078341,807.308755760369,"Endothelial"
"485",168.562998405104,1255.82296650718,"Immune"
"486",165.900952380952,749.142857142857,"Immune"
"487",171.04347826087,1323.75585284281,"Mesenchymal"
"488",164.562814070352,1788.69095477387,"Immune"
"490",169.277580071174,1204.77580071174,"Keratin+ Tumour"
"491",168.360169491525,1276.46186440678,"Endothelial"
"493",175.535749265426,223.243878550441,"p53+Tumour"
"494",170.015564202335,656.371595330739,"Immune"
"496",162.738955823293,34.7710843373494,"Keratin+ Tumour"
"497",167.71686746988,1018.81325301205,"p53+Tumour"
"498",166.752808988764,1447.68539325843,"Keratin+ Tumour"
"503",178.233258928571,595.770089285714,"Keratin+ Tumour"
"504",175.669683257919,729.414027149321,"Immune"
"505",170.258585858586,837.967676767677,"Immune"
